epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2576.29,1.35045,0.91378,1.22374,0.69757,0.70395,0.75585,0.45471,1.46329,0.8701,1.30318,0.00741194,0.00741194,0.00741194
43,2637.4,1.35713,0.9196,1.22499,0.75602,0.6834,0.75993,0.45185,1.46067,0.89335,1.31458,0.00729725,0.00729725,0.00729725
44,2698.51,1.34698,0.90081,1.21764,0.72002,0.67461,0.75261,0.45279,1.4693,0.88685,1.315,0.00718103,0.00718103,0.00718103
45,2759.65,1.33621,0.89594,1.21996,0.70792,0.71701,0.77395,0.46934,1.46713,0.85973,1.30303,0.00706335,0.00706335,0.00706335
46,2820.89,1.32063,0.88571,1.2042,0.69725,0.75429,0.77455,0.47434,1.42261,0.84164,1.27594,0.00694428,0.00694428,0.00694428
47,2882.08,1.30923,0.86972,1.19599,0.72345,0.74998,0.78465,0.48593,1.43276,0.83473,1.28681,0.00682392,0.00682392,0.00682392
48,2943.27,1.31777,0.87426,1.20617,0.74279,0.69895,0.78508,0.48805,1.41971,0.81525,1.2814,0.00670234,0.00670234,0.00670234
49,3004.37,1.29718,0.85822,1.19352,0.73599,0.77512,0.80062,0.50617,1.40458,0.82927,1.27563,0.00657963,0.00657963,0.00657963
50,3065.74,1.28336,0.83549,1.17983,0.76633,0.76166,0.80661,0.48032,1.42972,0.82816,1.27295,0.00645588,0.00645588,0.00645588
51,3126.92,1.28254,0.83357,1.17977,0.73341,0.74597,0.81663,0.49475,1.40661,0.80752,1.27876,0.00633115,0.00633115,0.00633115
52,3188.13,1.27328,0.82663,1.1806,0.7625,0.74486,0.8084,0.50987,1.39713,0.79482,1.27042,0.00620555,0.00620555,0.00620555
53,3249.35,1.2606,0.81298,1.17245,0.76009,0.76988,0.8189,0.49957,1.38853,0.78482,1.25488,0.00607916,0.00607916,0.00607916
54,3310.68,1.25564,0.81169,1.16514,0.77156,0.7943,0.83636,0.51921,1.37467,0.78437,1.25522,0.00595207,0.00595207,0.00595207
55,3371.84,1.2592,0.81129,1.16256,0.81749,0.74827,0.83113,0.53053,1.38264,0.77595,1.25443,0.00582435,0.00582435,0.00582435
56,3433.09,1.23481,0.79512,1.15755,0.75525,0.76795,0.83274,0.53767,1.36789,0.77935,1.25455,0.0056961,0.0056961,0.0056961
57,3494.36,1.22707,0.78594,1.14953,0.76313,0.79004,0.83377,0.52331,1.36305,0.78483,1.24733,0.00556742,0.00556742,0.00556742
58,3555.48,1.22062,0.77586,1.14877,0.80731,0.79985,0.85067,0.5517,1.34347,0.7629,1.24104,0.00543837,0.00543837,0.00543837
59,3616.68,1.20406,0.76783,1.14301,0.81645,0.80959,0.85738,0.54916,1.33247,0.74931,1.23612,0.00530906,0.00530906,0.00530906
60,3677.73,1.20772,0.77058,1.15099,0.71742,0.85637,0.83998,0.53479,1.34232,0.76329,1.23796,0.00517958,0.00517958,0.00517958
61,3738.85,1.18555,0.74745,1.13006,0.77888,0.78728,0.82141,0.53792,1.32752,0.7332,1.22989,0.00505,0.00505,0.00505
62,3800.07,1.18135,0.74532,1.12905,0.78766,0.81189,0.856,0.55241,1.35656,0.74323,1.24826,0.00492042,0.00492042,0.00492042
63,3861.33,1.17345,0.73616,1.12263,0.76579,0.83859,0.84206,0.55484,1.31626,0.73506,1.22901,0.00479094,0.00479094,0.00479094
64,3922.56,1.15385,0.72905,1.12061,0.83843,0.80971,0.86771,0.56982,1.3146,0.71929,1.22643,0.00466163,0.00466163,0.00466163
65,3983.63,1.15667,0.72201,1.11843,0.78255,0.8361,0.86236,0.56375,1.33039,0.73893,1.2346,0.00453258,0.00453258,0.00453258
66,4044.73,1.15034,0.71862,1.11576,0.83928,0.81607,0.86891,0.5764,1.32127,0.73723,1.22416,0.0044039,0.0044039,0.0044039
